link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection,label,gender,product_category,category
/en/product/collaboration-soeur-x-leandra-cohen-chemise-west-side-rayures-pale-pink-soeur-322642,https://static.smallable.com/1693969-648x648q80/.jpg,collaboration soeur x leandra cohen - chemise west side rayures,pale pink,soeur,0,0,175.0,175.0,ss,top,w,long sleeve shirts,top
/en/product/d-sunglasses-brown-izipizi-93434,https://static.smallable.com/746649-648x648q80/d-sunglasses.jpg,#d sunglasses,brown,izipizi,0,0,40.0,40.0,ss,accessories,w,sunglasses,accessories
/en/product/microdini-zip-up-recycled-fleece-sweater-purple-patagonia-310874,https://static.smallable.com/1639596-648x648q80/.jpg,microdini zip-up recycled fleece sweater,purple,patagonia,1,1,90.3,129.0,ss,top,w,fleece sweatshirts,jumper
/en/product/p-6-logo-responsibili-tee-recycled-t-shirt-petrol-blue-patagonia-310888,https://static.smallable.com/1613929-648x648q80/.jpg,p-6 logo responsibili-tee recycled t-shirt,petrol blue,patagonia,1,0,45.0,45.0,ss,top,w,short sleeve t-shirts,top
/en/product/kelli-checked-shirt-shorts-camel-rylee-cru-314976,https://static.smallable.com/1674105-648x648q80/.jpg,kelli checked shirt + shorts ,camel,rylee + cru,0,1,48.5,97.0,ss,top,w,sets,top
/en/product/new-york-hobo-bag-black-demellier-300152,https://static.smallable.com/1640518-648x648q80/.jpg,new york hobo bag,black,demellier,1,0,495.0,495.0,ss,bags,w,handbags,bag
/en/product/petit-panier-sophie-orange-dragon-diffusion-305107,https://static.smallable.com/1693479-648x648q80/.jpg,petit panier sophie,orange,dragon diffusion,1,0,245.0,245.0,ss,bags,w,handbags,bag
/en/product/sweat-a-nouer-femme-molleton-bio-candy-pink-smallable-basics-315869,https://static.smallable.com/1694063-648x648q80/.jpg,sweat a nouer femme molleton bio,candy pink,smallable basics,1,0,75.0,75.0,ss,top,w,round neck sweatshirts,jumper
/en/product/organic-fleece-straight-jogger-golden-brown-smallable-basics-315872,https://static.smallable.com/1692567-648x648q80/.jpg,organic fleece straight jogger,golden brown,smallable basics,1,0,75.0,75.0,ss,top,w,jogging bottoms,bottom
/en/product/organic-fleece-straight-jogger-black-smallable-basics-315873,https://static.smallable.com/1692569-648x648q80/.jpg,organic fleece straight jogger,black,smallable basics,1,0,75.0,75.0,ss,top,w,jogging bottoms,bottom
/en/product/nell-cotton-gauze-jumpsuit-black-xirena-306782,https://static.smallable.com/1647022-648x648q80/.jpg,nell cotton gauze jumpsuit,black,xirena,0,1,293.3,419.0,ss,overalls,w,jumpsuits,dress_overalls
/en/product/minga-tote-bag-black-dragon-diffusion-305111,https://static.smallable.com/1693505-648x648q80/.jpg,minga tote bag,black,dragon diffusion,1,0,389.0,389.0,ss,bags,w,handbags,bag
/en/product/petit-panier-sophie-navy-blue-dragon-diffusion-305108,https://static.smallable.com/1693482-648x648q80/.jpg,petit panier sophie,navy blue,dragon diffusion,1,0,245.0,245.0,ss,bags,w,handbags,bag
/en/product/small-grace-basket-natural-dragon-diffusion-305101,https://static.smallable.com/1703971-648x648q80/.jpg,small grace basket,natural,dragon diffusion,1,0,319.0,319.0,ss,bags,w,handbags,bag
/en/product/organic-cotton-denim-blouse-off-white-alma-deia-314057,https://static.smallable.com/1693924-648x648q80/.jpg,organic cotton denim blouse,off white,alma deia,0,1,104.5,209.0,ss,top,w,jackets,top
/en/product/organic-fleece-straight-jogger-off-white-smallable-basics-315871,https://static.smallable.com/1692565-648x648q80/.jpg,organic fleece straight jogger,off white,smallable basics,1,0,75.0,75.0,ss,top,w,jogging bottoms,bottom
/en/product/organic-cotton-flared-jeans-off-white-alma-deia-314054,https://static.smallable.com/1693914-648x648q80/.jpg,organic cotton flared jeans,off white,alma deia,0,1,69.5,139.0,ss,bottom,w,straight leg trousers,bottom
