link,img,product,color,brand,greenable,discounted,disc_price,orig_price,collection
/en/product/puffer-vest-grey-taion-317354,https://static.smallable.com/1668029-648x648q80/.jpg,puffer vest,grey,taion,0,0,69.0,69.0,ss
/en/product/hoodie-bookstore-grey-champion-313348,https://static.smallable.com/1670457-648x648q80/.jpg,hoodie bookstore,grey,champion,0,1,30.0,75.0,ss
/en/product/hansie-6562-organic-cotton-polo-shirt-cream-nn07-305766,https://static.smallable.com/1675914-648x648q80/.jpg,hansie 6562 organic cotton polo shirt,cream,nn07,1,1,81.0,135.0,ss
/en/product/erwin-typewriter-short-sleeve-shirt-off-white-norse-projects-305871,https://static.smallable.com/1670115-648x648q80/.jpg,erwin typewriter short sleeve shirt ,off white,norse projects,0,1,114.0,190.0,ss
/en/product/julio-5029-short-sleeved-shirt-white-nn07-305774,https://static.smallable.com/1685683-648x648q80/.jpg,julio 5029 short sleeved shirt,white,nn07,0,1,81.0,135.0,ss
/en/product/john-chino-shorts-beige-carhartt-302262,https://static.smallable.com/1669287-648x648q80/.jpg,john chino shorts,beige,carhartt wip,0,1,41.4,69.0,ss
/en/product/nelson-sweatshirt-forest-green-carhartt-302284,https://static.smallable.com/1669300-648x648q80/.jpg,nelson sweatshirt,forest green,carhartt wip,0,1,71.4,119.0,ss
/en/product/quilted-military-jacket-olive-green-taion-318956,https://static.smallable.com/1668095-648x648q80/.jpg,quilted military jacket,olive green,taion,0,0,115.0,115.0,ss
/en/product/d2-graphic-t-shirt-white-the-north-face-315438,https://static.smallable.com/1669006-648x648q80/.jpg,d2 graphic t-shirt,white,the north face,0,1,24.0,40.0,ss
/en/product/chase-swim-trunks-jade-green-carhartt-302265,https://static.smallable.com/1669289-648x648q80/.jpg,chase swim trunks,jade green,carhartt wip,0,0,59.0,59.0,ss
/en/product/gianni-t-shirt-orange-bisous-bisous-316726,https://static.smallable.com/1670481-648x648q80/.jpg,gianni t-shirt,orange,bisous skateboards,1,1,35.4,59.0,ss
/en/product/bisous-x3-hoodie-orange-bisous-bisous-316721,https://static.smallable.com/1670466-648x648q80/.jpg,bisous x3 hoodie,orange,bisous skateboards,1,1,75.0,125.0,ss
/en/product/madison-cotton-shirt-pale-green-carhartt-302270,https://static.smallable.com/1669294-648x648q80/.jpg,madison cotton shirt,pale green,carhartt wip,0,1,47.4,79.0,ss
/en/product/pocket-sweatshirt-petrol-blue-carhartt-302280,https://static.smallable.com/1669297-648x648q80/.jpg,pocket sweatshirt,petrol blue,carhartt wip,0,1,53.4,89.0,ss
/en/product/madison-cotton-shirt-azure-blue-carhartt-302269,https://static.smallable.com/1669291-648x648q80/.jpg,madison cotton shirt,azure blue,carhartt wip,0,1,47.4,79.0,ss
/en/product/hansie-6562-organic-cotton-polo-shirt-navy-blue-nn07-305767,https://static.smallable.com/1670436-648x648q80/.jpg,hansie 6562 organic cotton polo shirt,navy blue,nn07,1,1,81.0,135.0,ss
/en/product/bisous-x3-hoodie-indigo-blue-bisous-bisous-316720,https://static.smallable.com/1670463-648x648q80/.jpg,bisous x3 hoodie,indigo blue,bisous skateboards,1,1,75.0,125.0,ss
/en/product/kumo-shirt-black-edwin-313202,https://static.smallable.com/1619709-648x648q80/.jpg,kumo shirt,black,edwin,0,1,78.0,130.0,ss
/en/product/miki-workwear-herringbone-hat-grey-beton-cire-313946,https://static.smallable.com/1668088-648x648q80/.jpg,miki workwear herringbone hat,grey,béton ciré,1,1,51.0,85.0,ss
/en/product/docker-miki-herringbone-linen-hat-ecru-beton-cire-313941,https://static.smallable.com/1668079-648x648q80/.jpg,docker miki herringbone linen hat,ecru,béton ciré,1,1,51.0,85.0,ss
/en/product/fruits-boxer-white-edmmond-studios-305839,https://static.smallable.com/1613530-648x648q80/.jpg,fruits boxer,white,edmmond studios,0,0,29.0,29.0,ss
/en/product/shelly-boxer-white-edmmond-studios-305838,https://static.smallable.com/1613528-648x648q80/.jpg,shelly boxer,white,edmmond studios,0,0,29.0,29.0,ss
/en/product/docker-miki-patchwork-organic-cotton-hat-marled-khaki-beton-cire-313943,https://static.smallable.com/1668085-648x648q80/.jpg,docker miki patchwork organic cotton hat,marled khaki,béton ciré,1,1,51.0,85.0,ss
/en/product/cohen-5768-organic-cotton-shirt-denim-blue-nn07-305760,https://static.smallable.com/1684523-648x648q80/.jpg,cohen 5768 organic cotton shirt,denim blue,nn07,1,1,89.4,149.0,ss
/en/product/docker-miki-canvas-recycled-cotton-hat-orange-beton-cire-313942,https://static.smallable.com/1668082-648x648q80/.jpg,docker miki canvas recycled cotton hat,orange,béton ciré,1,1,51.0,85.0,ss
/en/product/quarter-striped-t-shirt-orange-edwin-313181,https://static.smallable.com/1619672-648x648q80/.jpg,quarter striped t-shirt ,orange,edwin,0,1,30.0,50.0,ss
/en/product/classic-colour-swim-shorts-orange-edmmond-studios-305832,https://static.smallable.com/1613510-648x648q80/.jpg,classic colour swim shorts,orange,edmmond studios,0,1,51.0,85.0,ss
/en/product/military-quilted-jacket-pale-green-taion-317359,https://static.smallable.com/1668074-648x648q80/.jpg,military quilted jacket,pale green,taion,0,0,155.0,155.0,ss
/en/product/military-quilted-vest-pale-green-taion-317355,https://static.smallable.com/1668032-648x648q80/.jpg,military quilted vest,pale green,taion,0,0,105.0,105.0,ss
/en/product/time-teller-recycled-opp-watch-red-nixon-316108,https://static.smallable.com/1665241-648x648q80/.jpg,time teller recycled opp watch,red,nixon,1,1,79.2,99.0,ss
/en/product/seersucker-blouse-navy-blue-edmmond-studios-305802,https://static.smallable.com/1613465-648x648q80/.jpg,seersucker blouse,navy blue,edmmond studios,0,1,69.0,115.0,ss
/en/product/levon-5969-shirt-indigo-blue-nn07-305779,https://static.smallable.com/1668050-648x648q80/.jpg,levon 5969 shirt,indigo blue,nn07,0,1,81.0,135.0,ss
/en/product/time-teller-watch-bronze-nixon-316100,https://static.smallable.com/1665086-648x648q80/.jpg,time teller watch,bronze,nixon,0,1,100.0,125.0,ss
/en/product/patrol-watch-bronze-nixon-316105,https://static.smallable.com/1665154-648x648q80/.jpg,patrol watch,bronze,nixon,0,1,140.0,175.0,ss
/en/product/patrol-watch-camel-nixon-316104,https://static.smallable.com/1665150-648x648q80/.jpg,patrol watch,camel,nixon,0,1,140.0,175.0,ss
/en/product/porter-leather-watch-camel-nixon-316102,https://static.smallable.com/1665140-648x648q80/.jpg,porter leather watch,camel,nixon,0,0,125.0,125.0,ss
/en/product/porter-leather-watch-black-nixon-316101,https://static.smallable.com/1665135-648x648q80/.jpg,porter leather watch,black,nixon,0,1,100.0,125.0,ss
/en/product/time-teller-watch-black-nixon-316099,https://static.smallable.com/1665081-648x648q80/.jpg,time teller watch,black,nixon,0,1,100.0,125.0,ss
/en/product/time-teller-recycled-opp-watch-white-nixon-316109,https://static.smallable.com/1665172-648x648q80/.jpg,time teller recycled opp watch,white,nixon,1,1,79.2,99.0,ss
/en/product/time-teller-recycled-opp-watch-navy-blue-nixon-316110,https://static.smallable.com/1665177-648x648q80/.jpg,time teller recycled opp watch,navy blue,nixon,1,1,79.2,99.0,ss
/en/product/levon-5969-shirt-camel-nn07-305777,https://static.smallable.com/1663637-648x648q80/.jpg,levon 5969 shirt,camel,nn07,0,1,81.0,135.0,ss
/en/product/champion-logo-hoodie-heather-grey-champion-313337,https://static.smallable.com/1663646-648x648q80/.jpg,champion logo hoodie,heather grey,champion,0,1,28.0,70.0,ss
/en/product/eco-future-shorts-ecru-champion-313359,https://static.smallable.com/1663889-648x648q80/.jpg,eco future shorts,ecru,champion,1,1,20.0,50.0,ss
/en/product/eco-future-hoodie-ecru-champion-313357,https://static.smallable.com/1663880-648x648q80/.jpg,eco future hoodie,ecru,champion,1,1,32.0,80.0,ss
/en/product/relaxed-shirt-ecru-folk-clothing-305482,https://static.smallable.com/1663831-648x648q80/.jpg,relaxed shirt,ecru,folk clothing,0,1,53.2,133.0,ss
